"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000246582.3",92.5123027769586,0.320027951513278,0.204551079493667,1.56453807188627,0.11769125932591,0.560768048981509,"TNFRSF10A-DT"
"ENSG00000138778.14",5167.66345136826,0.213038603639584,0.136172516395265,1.56447577880696,0.117705876805153,0.560768048981509,"CENPE"
"ENSG00000287064.1",4.72886454580453,1.40551956328937,0.898588328389659,1.56414179762181,0.117784271975375,NA,"ENSG00000287064"
"ENSG00000289463.1",17.398036984892,0.776700812775767,0.496589065344111,1.56407151703502,0.117800774105028,0.561090030707068,"ENSG00000289463"
"ENSG00000241352.3",48.7049068726935,0.449061574921292,0.28715950240079,1.56380538051822,0.117863280340168,0.561257618921668,"ENSG00000241352"
"ENSG00000284753.2",421.458706459043,0.209485946927306,0.133993517040588,1.56340360007008,0.117957693922795,0.56157703505353,"EEF1AKMT4"
"ENSG00000186395.9",878.631201698943,0.168093880317812,0.107536552104473,1.56313250730325,0.118021430985359,0.561750291179852,"KRT10"
"ENSG00000144115.18",1350.18197809885,0.14394370382565,0.0921076232676164,1.56277731113987,0.118104982621746,0.562017757238484,"THNSL2"
"ENSG00000120437.9",7650.99865513011,-0.139220122088655,0.0890931058554975,-1.56263630896941,0.118138162965504,0.562045456646674,"ACAT2"
"ENSG00000150347.17",5392.93736617716,-0.117685221618377,0.0753263931336962,-1.56233714004464,0.118208587003257,0.562108830733508,"ARID5B"
"ENSG00000115221.12",669.078207033643,0.333040065018643,0.213179244908244,1.56225370421022,0.118228233578614,0.562108830733508,"ITGB6"
"ENSG00000105552.15",2707.18397833201,-0.253338623027521,0.162164633144708,-1.56223103715503,0.118233571416029,0.562108830733508,"BCAT2"
"ENSG00000229859.10",6.90395320316034,1.1453985031856,0.733224040032089,1.56213986537521,0.118255043257401,NA,"PGA3"
"ENSG00000136026.14",25076.4628140943,0.116075587855385,0.0743123559765301,1.56199579908414,0.118288978505485,0.562239222166861,"CKAP4"
"ENSG00000232082.1",10.174692007327,-0.964894315700447,0.617841628693803,-1.56171787540499,0.118354465842931,0.562239222166861,"RPS6KA2-IT1"
"ENSG00000112232.10",909.39726636809,0.152590903517722,0.0977233623714636,1.56145777033026,0.118415780325367,0.562239222166861,"KHDRBS2"
"ENSG00000197620.11",1111.88323121606,0.16220950630088,0.103883474431764,1.56145630657962,0.118416125445289,0.562239222166861,"EOLA1"
"ENSG00000140307.11",4608.42500052283,0.120991699092702,0.0774878246726185,1.5614285160783,0.118422677978527,0.562239222166861,"GTF2A2"
"ENSG00000113384.14",9237.10131996643,0.129765035545665,0.0831071849177606,1.56141777241131,0.118425211230882,0.562239222166861,"GOLPH3"
"ENSG00000273035.1",1.99650993059888,-2.33650979801387,1.49655960747752,-1.56125408325841,0.118463812800115,NA,"ENSG00000273035"
